srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.0,1390,149.171.126.6,53,udp,CON,0.001055,132,164,31,29,0,0,dns,500473.9375,621800.9375,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,3,7,1,3,1,1,1,,0
59.166.0.0,33661,149.171.126.9,1024,udp,CON,0.036133,528,304,31,29,0,0,-,87676.08594,50480.17188,4,4,0,0,0,0,132,76,0,0,9.89101,10.682733,1421927414,1421927414,7.005,7.564333,0,0,0,0,0,0,0,0,2,4,2,3,1,1,2,,0
59.166.0.6,1464,149.171.126.7,53,udp,CON,0.001119,146,178,31,29,0,0,dns,521894.5313,636282.375,2,2,0,0,0,0,73,89,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,12,8,1,2,2,1,1,,0
59.166.0.5,3593,149.171.126.5,53,udp,CON,0.001209,132,164,31,29,0,0,dns,436724.5625,542597.1875,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.043,0.014,0,0,0,0,0,0,0,0,6,9,1,1,1,1,1,,0
59.166.0.3,49664,149.171.126.0,53,udp,CON,0.001169,146,178,31,29,0,0,dns,499572.25,609067.5625,2,2,0,0,0,0,73,89,0,0,0,0,1421927414,1421927414,0.005,0.003,0,0,0,0,0,0,0,0,7,9,1,1,1,1,1,,0
59.166.0.0,32119,149.171.126.9,111,udp,CON,0.078339,568,312,31,29,0,0,-,43503.23438,23896.14258,4,4,0,0,0,0,142,78,0,0,29.682221,34.37034,1421927414,1421927414,21.003,24.315,0,0,0,0,0,0,0,0,2,4,2,3,1,1,2,,0
59.166.0.6,2142,149.171.126.4,53,udp,CON,0.001134,132,164,31,29,0,0,dns,465608.4688,578483.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,12,7,1,2,2,1,1,,0
10.40.182.3,0,10.40.182.3,0,arp,INT,0,46,0,0,0,0,0,-,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,2,,0
59.166.0.5,40726,149.171.126.6,53,udp,CON,0.001126,146,178,31,29,0,0,dns,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,7,3,1,1,1,1,,0
59.166.0.7,12660,149.171.126.4,53,udp,CON,0.001167,132,164,31,29,0,0,dns,452442.1563,562125.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,7,2,1,1,1,1,,0
10.40.170.2,0,10.40.170.2,0,arp,INT,0,46,0,0,0,0,0,-,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,2,,0
10.40.170.2,0,10.40.170.2,0,arp,INT,0,46,0,0,0,0,0,-,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,2,,0
10.40.182.3,0,10.40.182.3,0,arp,INT,0,46,0,0,0,0,0,-,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,2,,0
59.166.0.1,48847,149.171.126.5,53,udp,CON,0.001093,132,164,31,29,0,0,dns,483074.0938,600182.9375,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,9,2,5,1,1,1,,0
59.166.0.1,24266,149.171.126.9,41049,udp,CON,0.001851,528,304,31,29,0,0,-,1711507.25,985413.3125,4,4,0,0,0,0,132,76,0,0,0.656903,0.328339,1421927415,1421927415,0.471,0.237667,0,0,0,0,0,0,0,0,8,4,2,5,1,1,2,,0
59.166.0.1,10393,149.171.126.6,44307,udp,CON,0.001749,528,304,31,29,0,0,-,1811320.75,1042881.625,4,4,0,0,0,0,132,76,0,0,0.640403,0.280968,1421927415,1421927415,0.458333,0.203667,0,0,0,0,0,0,0,0,8,2,3,5,1,1,2,,0
59.166.0.2,62539,149.171.126.4,53,udp,CON,0.001128,132,164,31,29,0,0,dns,468085.125,581560.3125,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.017,0.015,0,0,0,0,0,0,0,0,7,7,2,1,1,1,1,,0
59.166.0.1,21270,149.171.126.9,111,udp,CON,0.005153,568,312,31,29,0,0,-,661362.3125,363283.5313,4,4,0,0,0,0,142,78,0,0,1.890104,1.610554,1421927415,1421927415,1.348,1.149333,0,0,0,0,0,0,0,0,8,4,2,5,2,1,2,,0
59.166.0.1,8989,149.171.126.6,111,udp,CON,0.004898,568,312,31,29,0,0,-,695794.1875,382196.8125,4,4,0,0,0,0,142,78,0,0,1.780739,1.549507,1421927415,1421927415,1.269667,1.103667,0,0,0,0,0,0,0,0,8,2,3,5,2,1,2,,0
59.166.0.4,49346,149.171.126.5,53,udp,CON,0.001111,132,164,31,29,0,0,dns,475247.5313,590459.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,5,9,2,1,1,1,1,,0
175.45.176.3,21223,149.171.126.18,32780,udp,INT,0.000021,728,0,254,0,0,0,-,138666672,0,2,0,0,0,0,0,364,0,0,0,0,0,1421927415,1421927415,0.021,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,23357,149.171.126.16,80,tcp,FIN,0.240139,918,25552,62,252,2,10,http,28050.42188,815794.1875,12,24,255,255,1708297952,1939490744,77,1065,1,12026,1170.481668,1144.38336,1421927416,1421927416,21.830818,9.570304,0.051475,0.006528,0.044947,0,1,1,0,0,3,2,2,1,1,1,1,Exploits,1
175.45.176.0,13284,149.171.126.16,80,tcp,FIN,2.39039,1362,268,254,252,6,1,http,4233.619141,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.724938,1421927414,1421927416,183.579303,474.259406,0.066088,0.017959,0.048129,0,1,1,0,0,5,2,2,1,1,1,1,Reconnaissance,1
59.166.0.3,4192,149.171.126.9,53,udp,CON,0.001101,132,164,31,29,0,0,dns,479564.0313,595822,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.012,0,0,0,0,0,0,0,0,7,4,3,1,1,1,1,,0
59.166.0.2,26872,149.171.126.8,53,udp,CON,0.001082,132,164,31,29,0,0,dns,487985.2188,606284.6875,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.011,0.009,0,0,0,0,0,0,0,0,7,6,1,1,1,1,1,,0
59.166.0.8,24946,149.171.126.2,53,udp,CON,0.001122,132,164,31,29,0,0,dns,470588.2188,584670.1875,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.018,0.014,0,0,0,0,0,0,0,0,8,3,1,2,2,1,1,,0
59.166.0.9,5685,149.171.126.6,53,udp,CON,0.001141,146,178,31,29,0,0,dns,511831.75,624014.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,5,7,1,1,1,1,1,,0
59.166.0.0,22848,149.171.126.1,53,udp,CON,0.001164,146,178,31,29,0,0,dns,501718.2188,611683.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.018,0.013,0,0,0,0,0,0,0,0,3,8,2,1,1,1,1,,0
59.166.0.5,28565,149.171.126.9,53,udp,CON,0.001127,132,164,31,29,0,0,dns,468500.4688,582076.3125,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,6,4,3,1,1,1,1,,0
59.166.0.7,46719,149.171.126.4,53,udp,CON,0.001073,132,164,31,29,0,0,dns,492078.2813,611370,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.011,0.008,0,0,0,0,0,0,0,0,6,7,1,1,1,1,1,,0
59.166.0.8,25100,149.171.126.9,53,udp,CON,0.001196,146,178,31,29,0,0,dns,488294.3125,595317.6875,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,8,4,3,2,2,1,1,,0
59.166.0.1,29704,149.171.126.1,53,udp,CON,0.001101,132,164,31,29,0,0,dns,479564.0313,595822,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.013,0,0,0,0,0,0,0,0,6,8,2,1,1,1,1,,0
59.166.0.7,36998,149.171.126.6,53,udp,CON,0.001058,146,178,31,29,0,0,dns,551984.875,672967.875,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.017,0.013,0,0,0,0,0,0,0,0,6,7,1,2,2,1,1,,0
59.166.0.7,6438,149.171.126.8,53,udp,CON,0.0011,132,164,31,29,0,0,dns,480000,596363.625,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.018,0.013,0,0,0,0,0,0,0,0,6,6,3,2,2,1,1,,0
59.166.0.8,1416,149.171.126.0,53,udp,CON,0.001126,146,178,31,29,0,0,dns,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.011,0.008,0,0,0,0,0,0,0,0,8,9,1,1,1,1,1,,0
59.166.0.4,35578,149.171.126.8,53,udp,CON,0.001017,146,178,31,29,0,0,dns,574238,700098.375,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.011,0.012,0,0,0,0,0,0,0,0,5,6,3,2,2,1,1,,0
59.166.0.4,38902,149.171.126.7,53,udp,CON,0.001094,132,164,31,29,0,0,dns,482632.5625,599634.375,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.011,0.009,0,0,0,0,0,0,0,0,5,8,1,2,2,1,1,,0
59.166.0.0,9897,149.171.126.8,53,udp,CON,0.001092,132,164,31,29,0,0,dns,483516.4688,600732.5625,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.017,0.012,0,0,0,0,0,0,0,0,3,6,3,1,1,1,1,,0
