Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,WSRF,Classifier
0.6838,0.6771,0.6830,0.6605,0.6904,0.6693,0.6789,0.6709,0.6672,100,0
0.6670,0.6904,0.6626,0.6835,0.6835,0.6630,0.6657,0.6634,0.6838,93,0
0.6602,0.6904,0.6773,0.6771,0.6835,0.6761,0.6720,0.6568,0.6672,90,0
0.6670,0.6904,0.6502,0.6771,0.6771,0.6761,0.6657,0.6634,0.6838,90,0
0.6602,0.6904,0.6672,0.6771,0.6835,0.6630,0.6720,0.6568,0.6838,90,0
0.6542,0.6904,0.6773,0.6771,0.6771,0.6761,0.6720,0.6508,0.6838,90,0
0.6635,0.6904,0.6626,0.6771,0.6771,0.6630,0.6720,0.6634,0.6838,89,0
0.6602,0.6904,0.6672,0.6771,0.6835,0.6630,0.6657,0.6568,0.6902,88,0
0.6602,0.6904,0.6672,0.6771,0.6835,0.6630,0.6720,0.6568,0.6902,88,0
0.6602,0.6904,0.6626,0.6835,0.6835,0.6630,0.6657,0.6568,0.6902,87,0
0.6602,0.6904,0.6626,0.6771,0.6835,0.6630,0.6657,0.6568,0.6902,87,0
0.6602,0.6904,0.6672,0.6771,0.6835,0.6630,0.6657,0.6568,0.6838,87,0
0.6571,0.6904,0.6891,0.6771,0.6904,0.6761,0.6720,0.6568,0.6456,87,0
0.6602,0.6904,0.6582,0.6835,0.6835,0.6630,0.6720,0.6568,0.6902,86,0
0.6602,0.6904,0.6830,0.6605,0.6835,0.6630,0.6720,0.6568,0.6723,86,0
0.6602,0.6904,0.6626,0.6835,0.6835,0.6630,0.6657,0.6568,0.6838,86,0
0.6571,0.6904,0.6626,0.6904,0.6771,0.6761,0.6657,0.6568,0.6723,85,0
0.6571,0.6904,0.6626,0.6771,0.6835,0.6630,0.6720,0.6537,0.6838,85,0
0.6602,0.6904,0.6626,0.6771,0.6771,0.6630,0.6657,0.6568,0.6838,85,0
0.6571,0.6904,0.6582,0.6835,0.6771,0.6630,0.6657,0.6537,0.6838,85,0
0.6635,0.6904,0.6721,0.6771,0.6904,0.6630,0.6657,0.6634,0.6535,85,0
0.6602,0.6904,0.6541,0.6835,0.6835,0.6630,0.6657,0.6568,0.6838,84,0
0.6670,0.6904,0.6502,0.6771,0.6835,0.6693,0.6657,0.6600,0.6672,84,0
